launch_id,launch_date,year,month,quarter,rocket,flight_number,booster_id,booster_reuse_count,launch_site,orbit,customer,payload_kg,cost_usd_million,mission_duration_min,outcome,booster_landing
126,2020-01-02,2020,January,Q1,Falcon 9,91,B1055,10,Cape Canaveral SLC-40,LEO,NASA,15303,65.3,2,Success,Failure
78,2020-01-05,2020,January,Q1,Falcon 9,54,B1055,6,Cape Canaveral SLC-40,Polar,ESA,17095,67.0,4,Success,Success
24,2020-01-08,2020,January,Q1,Starship,3,B1061,1,"Starbase, TX",TMI,Axiom Space,134296,11.7,7,Failure,Failure
63,2020-01-15,2020,January,Q1,Falcon 9,43,B1052,5,Vandenberg SLC-4E,MEO,Iridium,15284,67.4,6,Success,Success
100,2020-01-26,2020,January,Q1,Falcon Heavy,17,B1053,8,Kennedy LC-39A,Heliocentric,Axiom Space,22263,92.2,5,Success,Success
150,2020-02-21,2020,February,Q1,Falcon 9,105,B1055,12,Vandenberg SLC-4E,SSO,Commercial Satellite Co.,18399,79.7,5,Success,Success
104,2020-03-15,2020,March,Q1,Falcon 9,71,B1057,8,Vandenberg SLC-4E,MEO,Commercial Satellite Co.,14803,75.1,3,Success,Success
84,2020-04-06,2020,April,Q2,Falcon 9,56,B1061,6,Kennedy LC-39A,GTO,Planet Labs,3698,74.8,6,Success,Success
144,2020-04-13,2020,April,Q2,Falcon Heavy,22,B1061,11,Kennedy LC-39A,GTO,ESA,25248,115.7,4,Success,Success
22,2020-04-24,2020,April,Q2,Falcon Heavy,5,B1059,1,Kennedy LC-39A,HEO,ESA,20690,131.6,8,Failure,Failure
135,2020-04-27,2020,April,Q2,Starship,18,B1052,11,"Starbase, TX",LEO,DoD,140783,22.9,1,Success,Success
178,2020-05-20,2020,May,Q2,Falcon 9,124,B1059,14,Vandenberg SLC-4E,LEO,Planet Labs,20557,73.6,10,Success,Success
89,2020-05-22,2020,May,Q2,Falcon 9,59,B1054,7,Vandenberg SLC-4E,LEO,NASA,10421,65.5,6,Success,Success
98,2020-05-31,2020,May,Q2,Falcon 9,66,B1051,8,Cape Canaveral SLC-40,LEO,Iridium,9573,77.1,5,Success,Success
110,2020-06-05,2020,June,Q2,Falcon 9,76,B1051,9,Kennedy LC-39A,ISS,SpaceX (Starlink),14774,72.8,5,Success,Success
54,2020-06-20,2020,June,Q2,Falcon 9,38,B1055,4,Cape Canaveral SLC-40,MEO,Axiom Space,5437,68.8,1,Success,Success
90,2020-06-27,2020,June,Q2,Falcon 9,60,B1055,7,Vandenberg SLC-4E,MEO,Axiom Space,11031,67.4,2,Success,Success
99,2020-07-25,2020,July,Q3,Falcon 9,67,B1052,8,Cape Canaveral SLC-40,Polar,Commercial Satellite Co.,4461,68.7,5,Success,Success
5,2020-09-01,2020,September,Q3,Falcon Heavy,1,B1054,0,Kennedy LC-39A,HEO,Planet Labs,58936,108.8,5,Success,Success
3,2020-09-10,2020,September,Q3,Starship,1,B1052,0,"Starbase, TX",LEO,Commercial Satellite Co.,56105,21.1,9,Success,Success
33,2020-09-16,2020,September,Q3,Falcon Heavy,9,B1058,2,Kennedy LC-39A,HEO,Commercial Satellite Co.,53398,106.6,9,Success,Failure
102,2020-09-16,2020,September,Q3,Falcon 9,69,B1055,8,Vandenberg SLC-4E,LEO,Planet Labs,20026,64.8,7,Success,Success
65,2020-09-23,2020,September,Q3,Falcon 9,45,B1054,5,Vandenberg SLC-4E,SSO,SpaceX (Starlink),13819,78.7,5,Success,Success
115,2020-09-28,2020,September,Q3,Falcon 9,81,B1056,9,Kennedy LC-39A,MEO,SpaceX (Starlink),8347,64.4,3,Success,Success
113,2020-10-01,2020,October,Q4,Falcon 9,79,B1054,9,Cape Canaveral SLC-40,ISS,Planet Labs,13971,63.7,1,Success,Success
164,2020-10-21,2020,October,Q4,Falcon 9,116,B1057,13,Kennedy LC-39A,ISS,ESA,21929,63.8,8,Success,Success
41,2020-10-23,2020,October,Q4,Falcon 9,27,B1054,3,Vandenberg SLC-4E,LEO,SpaceX (Starlink),10537,63.5,2,Success,Success
7,2020-10-26,2020,October,Q4,Falcon 9,5,B1056,0,Cape Canaveral SLC-40,Polar,Planet Labs,7405,75.6,1,Success,Success
8,2020-11-13,2020,November,Q4,Starship,2,B1057,0,"Starbase, TX",TLI,Axiom Space,127905,19.9,2,Failure,Failure
134,2020-11-14,2020,November,Q4,Falcon 9,98,B1051,11,Kennedy LC-39A,GTO,DoD,3078,62.5,6,Success,Failure
93,2020-11-19,2020,November,Q4,Falcon 9,62,B1058,7,Kennedy LC-39A,GTO,Planet Labs,7240,66.5,9,Success,Success
85,2020-11-21,2020,November,Q4,Falcon Heavy,15,B1050,7,Kennedy LC-39A,HEO,Commercial Satellite Co.,20157,129.1,5,Success,Success
176,2020-12-05,2020,December,Q4,Falcon Heavy,29,B1057,14,Kennedy LC-39A,GTO,Iridium,48978,135.8,1,Success,Success
26,2020-12-13,2020,December,Q4,Falcon 9,16,B1051,2,Kennedy LC-39A,GTO,DoD,6162,62.5,3,Success,Success
2,2020-12-18,2020,December,Q4,Falcon 9,2,B1051,0,Vandenberg SLC-4E,SSO,SpaceX (Starlink),9886,63.6,2,Success,Success
137,2020-12-24,2020,December,Q4,Starship,19,B1054,11,"Starbase, TX",TLI,SpaceX (Starlink),67387,12.0,4,Failure,Failure
174,2020-12-24,2020,December,Q4,Starship,25,B1055,14,"Starbase, TX",TLI,Planet Labs,121486,21.5,1,Success,Success
105,2021-01-05,2021,January,Q1,Falcon 9,72,B1058,8,Vandenberg SLC-4E,Polar,Axiom Space,17102,75.9,3,Success,Success
20,2021-01-07,2021,January,Q1,Falcon 9,14,B1057,1,Kennedy LC-39A,ISS,Axiom Space,7473,68.4,9,Success,Success
59,2021-02-11,2021,February,Q1,Starship,7,B1060,4,"Starbase, TX",TMI,Iridium,88123,24.2,2,Success,Success
177,2021-02-16,2021,February,Q1,Falcon 9,123,B1058,14,Kennedy LC-39A,LEO,Axiom Space,6544,76.2,5,Success,Success
143,2021-03-04,2021,March,Q1,Falcon Heavy,21,B1060,11,Kennedy LC-39A,HEO,SpaceX (Starlink),34297,145.7,7,Success,Success
32,2021-03-10,2021,March,Q1,Falcon Heavy,8,B1057,2,Kennedy LC-39A,GTO,Commercial Satellite Co.,26148,92.5,1,Success,Success
123,2021-03-11,2021,March,Q1,Falcon 9,89,B1052,10,Kennedy LC-39A,ISS,Commercial Satellite Co.,15540,72.5,10,Success,Success
107,2021-03-21,2021,March,Q1,Starship,17,B1060,8,"Starbase, TX",TLI,Commercial Satellite Co.,89533,12.5,8,Failure,Failure
179,2021-05-01,2021,May,Q2,Falcon 9,125,B1060,14,Vandenberg SLC-4E,Polar,Planet Labs,16629,63.2,3,Success,Success
87,2021-05-21,2021,May,Q2,Starship,15,B1052,7,"Starbase, TX",TLI,Axiom Space,90461,26.4,8,Success,Success
145,2021-06-03,2021,June,Q2,Starship,21,B1050,12,"Starbase, TX",TLI,Axiom Space,118384,13.1,9,Failure,Failure
11,2021-06-13,2021,June,Q2,Falcon Heavy,3,B1060,0,Kennedy LC-39A,HEO,Planet Labs,40539,94.8,3,Success,Success
114,2021-06-17,2021,June,Q2,Falcon 9,80,B1055,9,Cape Canaveral SLC-40,MEO,Axiom Space,18760,63.4,3,Success,Success
62,2021-06-27,2021,June,Q2,Starship,10,B1051,5,"Starbase, TX",LEO,Axiom Space,80327,20.0,7,Failure,Failure
95,2021-06-28,2021,June,Q2,Falcon 9,64,B1060,7,Vandenberg SLC-4E,SSO,Commercial Satellite Co.,19647,77.2,5,Success,Success
36,2021-07-16,2021,July,Q3,Falcon 9,23,B1061,2,Vandenberg SLC-4E,GTO,SpaceX (Starlink),15050,77.9,4,Success,Success
28,2021-07-24,2021,July,Q3,Falcon 9,18,B1053,2,Vandenberg SLC-4E,GTO,Commercial Satellite Co.,2917,66.5,10,Success,Success
58,2021-08-26,2021,August,Q3,Falcon 9,42,B1059,4,Vandenberg SLC-4E,ISS,ESA,22353,72.2,5,Success,Success
1,2021-09-09,2021,September,Q3,Falcon 9,1,B1050,0,Vandenberg SLC-4E,MEO,NASA,4373,76.8,9,Success,Success
30,2021-09-13,2021,September,Q3,Falcon 9,20,B1055,2,Kennedy LC-39A,Polar,NASA,16422,76.0,3,Success,Success
165,2021-09-17,2021,September,Q3,Falcon 9,117,B1058,13,Cape Canaveral SLC-40,SSO,DoD,21972,78.0,9,Success,Success
124,2021-10-11,2021,October,Q4,Falcon Heavy,18,B1053,10,Kennedy LC-39A,GTO,Commercial Satellite Co.,54364,99.0,5,Success,Success
142,2021-10-12,2021,October,Q4,Falcon 9,102,B1059,11,Vandenberg SLC-4E,GTO,Commercial Satellite Co.,18328,65.0,8,Success,Success
94,2021-10-20,2021,October,Q4,Falcon 9,63,B1059,7,Vandenberg SLC-4E,LEO,SpaceX (Starlink),10679,73.2,8,Success,Success
155,2021-10-20,2021,October,Q4,Falcon 9,110,B1060,12,Kennedy LC-39A,GTO,Axiom Space,5312,77.2,8,Success,Success
19,2021-10-23,2021,October,Q4,Falcon 9,13,B1056,1,Kennedy LC-39A,LEO,Commercial Satellite Co.,19309,68.5,9,Success,Failure
146,2021-11-25,2021,November,Q4,Falcon Heavy,23,B1051,12,Kennedy LC-39A,HEO,ESA,45956,103.9,4,Success,Success
44,2021-12-29,2021,December,Q4,Falcon 9,29,B1057,3,Vandenberg SLC-4E,ISS,NASA,10206,62.7,4,Success,Success
6,2022-01-06,2022,January,Q1,Falcon 9,4,B1055,0,Kennedy LC-39A,GTO,SpaceX (Starlink),20822,67.4,8,Success,Success
13,2022-01-16,2022,January,Q1,Falcon 9,7,B1050,1,Vandenberg SLC-4E,ISS,NASA,6773,69.5,3,Success,Success
92,2022-01-19,2022,January,Q1,Starship,16,B1057,7,"Starbase, TX",TMI,ESA,140716,25.5,6,Success,Success
154,2022-01-19,2022,January,Q1,Falcon 9,109,B1059,12,Kennedy LC-39A,ISS,NASA,14737,77.0,5,Success,Success
97,2022-02-10,2022,February,Q1,Falcon Heavy,16,B1050,8,Kennedy LC-39A,GTO,Planet Labs,24492,149.5,2,Success,Success
127,2022-03-18,2022,March,Q1,Falcon 9,92,B1056,10,Cape Canaveral SLC-40,SSO,Commercial Satellite Co.,18982,72.9,10,Success,Success
25,2022-03-27,2022,March,Q1,Falcon Heavy,7,B1050,2,Kennedy LC-39A,GTO,Planet Labs,59716,128.2,7,Success,Failure
60,2022-03-27,2022,March,Q1,Starship,8,B1061,4,"Starbase, TX",LEO,Iridium,52294,15.8,8,Success,Success
50,2022-04-03,2022,April,Q2,Falcon 9,34,B1051,4,Cape Canaveral SLC-40,Polar,NASA,4977,66.8,1,Success,Success
101,2022-04-13,2022,April,Q2,Falcon 9,68,B1054,8,Cape Canaveral SLC-40,ISS,Planet Labs,14183,65.3,8,Success,Success
17,2022-05-01,2022,May,Q2,Falcon 9,11,B1054,1,Kennedy LC-39A,SSO,DoD,22788,66.5,2,Success,Success
73,2022-06-03,2022,June,Q2,Falcon 9,52,B1050,6,Cape Canaveral SLC-40,ISS,Commercial Satellite Co.,14601,69.2,1,Success,Failure
140,2022-06-06,2022,June,Q2,Falcon Heavy,20,B1057,11,Kennedy LC-39A,Heliocentric,ESA,19165,116.2,1,Success,Success
109,2022-06-12,2022,June,Q2,Falcon 9,75,B1050,9,Cape Canaveral SLC-40,SSO,DoD,14569,68.5,4,Success,Failure
116,2022-06-24,2022,June,Q2,Falcon 9,82,B1057,9,Cape Canaveral SLC-40,ISS,ESA,7202,67.8,8,Success,Failure
21,2022-07-02,2022,July,Q3,Falcon 9,15,B1058,1,Kennedy LC-39A,GTO,Commercial Satellite Co.,15129,75.3,6,Success,Success
160,2022-07-14,2022,July,Q3,Falcon 9,113,B1053,13,Cape Canaveral SLC-40,ISS,Planet Labs,17338,79.9,8,Success,Success
39,2022-07-25,2022,July,Q3,Falcon 9,26,B1052,3,Cape Canaveral SLC-40,LEO,ESA,10910,62.7,3,Success,Success
152,2022-07-25,2022,July,Q3,Falcon 9,107,B1057,12,Kennedy LC-39A,GTO,SpaceX (Starlink),16873,69.8,7,Success,Success
46,2022-07-29,2022,July,Q3,Falcon 9,31,B1059,3,Vandenberg SLC-4E,GTO,DoD,15261,79.8,3,Failure,Failure
161,2022-08-01,2022,August,Q3,Falcon 9,114,B1054,13,Vandenberg SLC-4E,MEO,Planet Labs,10308,79.7,5,Success,Success
91,2022-08-15,2022,August,Q3,Falcon 9,61,B1056,7,Cape Canaveral SLC-40,SSO,Iridium,14665,76.2,3,Success,Success
79,2022-08-19,2022,August,Q3,Falcon 9,55,B1056,6,Kennedy LC-39A,GTO,NASA,15494,74.7,8,Success,Success
69,2022-09-04,2022,September,Q3,Falcon 9,48,B1058,5,Vandenberg SLC-4E,SSO,Planet Labs,5923,65.0,8,Success,Success
71,2022-09-06,2022,September,Q3,Falcon 9,50,B1060,5,Vandenberg SLC-4E,ISS,Commercial Satellite Co.,2658,75.5,9,Success,Success
55,2022-09-28,2022,September,Q3,Falcon 9,39,B1056,4,Vandenberg SLC-4E,ISS,NASA,16973,76.4,9,Success,Success
45,2022-10-03,2022,October,Q4,Falcon 9,30,B1058,3,Vandenberg SLC-4E,LEO,Planet Labs,18220,71.8,5,Success,Failure
168,2022-10-06,2022,October,Q4,Falcon Heavy,27,B1061,13,Kennedy LC-39A,GTO,NASA,18509,140.4,5,Success,Success
77,2022-10-28,2022,October,Q4,Starship,12,B1054,6,"Starbase, TX",TMI,SpaceX (Starlink),63034,11.4,7,Success,Success
47,2022-11-12,2022,November,Q4,Falcon 9,32,B1060,3,Vandenberg SLC-4E,GTO,NASA,4768,74.0,5,Success,Success
40,2022-11-25,2022,November,Q4,Falcon Heavy,10,B1053,3,Kennedy LC-39A,GTO,Iridium,53902,109.6,3,Success,Success
43,2022-12-08,2022,December,Q4,Starship,5,B1056,3,"Starbase, TX",LEO,Commercial Satellite Co.,90893,22.6,8,Success,Success
125,2022-12-18,2022,December,Q4,Falcon 9,90,B1054,10,Cape Canaveral SLC-40,LEO,Axiom Space,21487,73.6,8,Success,Failure
167,2022-12-19,2022,December,Q4,Falcon 9,118,B1060,13,Vandenberg SLC-4E,GTO,DoD,17507,70.9,3,Success,Success
130,2022-12-25,2022,December,Q4,Falcon Heavy,19,B1059,10,Kennedy LC-39A,Heliocentric,ESA,27373,128.5,4,Failure,Failure
147,2022-12-31,2022,December,Q4,Falcon 9,103,B1052,12,Vandenberg SLC-4E,MEO,DoD,7111,79.5,6,Success,Success
96,2023-01-01,2023,January,Q1,Falcon 9,65,B1061,7,Vandenberg SLC-4E,ISS,ESA,8527,69.9,5,Success,Success
9,2023-01-10,2023,January,Q1,Falcon Heavy,2,B1058,0,Kennedy LC-39A,Heliocentric,SpaceX (Starlink),11976,133.9,8,Success,Success
72,2023-01-11,2023,January,Q1,Falcon 9,51,B1061,5,Vandenberg SLC-4E,LEO,Iridium,11093,72.3,9,Success,Success
118,2023-02-13,2023,February,Q1,Falcon 9,84,B1059,9,Kennedy LC-39A,ISS,Planet Labs,7529,76.3,1,Success,Success
12,2023-02-14,2023,February,Q1,Falcon Heavy,4,B1061,0,Kennedy LC-39A,HEO,Planet Labs,23122,99.1,4,Success,Success
66,2023-03-15,2023,March,Q1,Falcon 9,46,B1055,5,Kennedy LC-39A,GTO,Commercial Satellite Co.,10707,69.9,7,Success,Success
68,2023-03-18,2023,March,Q1,Falcon 9,47,B1057,5,Vandenberg SLC-4E,LEO,DoD,7595,70.5,5,Success,Success
48,2023-04-15,2023,April,Q2,Falcon 9,33,B1061,3,Cape Canaveral SLC-40,SSO,DoD,7162,66.8,6,Success,Success
166,2023-05-01,2023,May,Q2,Falcon Heavy,26,B1059,13,Kennedy LC-39A,HEO,Commercial Satellite Co.,42786,94.7,2,Success,Success
149,2023-05-03,2023,May,Q2,Falcon Heavy,24,B1054,12,Kennedy LC-39A,HEO,Commercial Satellite Co.,15161,128.3,7,Success,Success
51,2023-05-12,2023,May,Q2,Falcon 9,35,B1052,4,Vandenberg SLC-4E,MEO,Commercial Satellite Co.,4768,72.5,10,Success,Success
162,2023-05-21,2023,May,Q2,Falcon 9,115,B1055,13,Vandenberg SLC-4E,SSO,Iridium,16040,73.2,3,Success,Success
111,2023-06-16,2023,June,Q2,Falcon 9,77,B1052,9,Kennedy LC-39A,GTO,Planet Labs,14753,73.9,1,Success,Success
4,2023-06-17,2023,June,Q2,Falcon 9,3,B1053,0,Kennedy LC-39A,MEO,DoD,5376,72.5,9,Success,Success
128,2023-06-21,2023,June,Q2,Falcon 9,93,B1057,10,Cape Canaveral SLC-40,ISS,NASA,17660,74.9,8,Success,Success
82,2023-06-30,2023,June,Q2,Starship,13,B1059,6,"Starbase, TX",LEO,Iridium,79024,15.3,2,Failure,Failure
49,2023-08-18,2023,August,Q3,Starship,6,B1050,4,"Starbase, TX",LEO,ESA,78556,17.1,8,Success,Success
52,2023-08-28,2023,August,Q3,Falcon 9,36,B1053,4,Kennedy LC-39A,SSO,DoD,11311,75.0,9,Success,Success
148,2023-09-05,2023,September,Q3,Falcon 9,104,B1053,12,Cape Canaveral SLC-40,ISS,SpaceX (Starlink),7393,79.3,3,Success,Success
170,2023-09-15,2023,September,Q3,Falcon 9,119,B1051,14,Cape Canaveral SLC-40,Polar,Iridium,17881,75.6,7,Success,Success
64,2023-09-19,2023,September,Q3,Falcon 9,44,B1053,5,Cape Canaveral SLC-40,ISS,Axiom Space,15050,64.2,5,Success,Success
138,2023-10-10,2023,October,Q4,Falcon 9,100,B1055,11,Vandenberg SLC-4E,ISS,NASA,13498,66.6,6,Success,Success
171,2023-10-18,2023,October,Q4,Falcon 9,120,B1052,14,Cape Canaveral SLC-40,MEO,Axiom Space,13184,70.5,4,Success,Success
42,2023-10-21,2023,October,Q4,Falcon 9,28,B1055,3,Kennedy LC-39A,SSO,ESA,22371,64.3,2,Success,Success
16,2023-10-24,2023,October,Q4,Falcon 9,10,B1053,1,Kennedy LC-39A,LEO,SpaceX (Starlink),2007,72.2,10,Success,Failure
172,2023-11-01,2023,November,Q4,Falcon 9,121,B1053,14,Vandenberg SLC-4E,ISS,NASA,11474,67.3,9,Success,Success
23,2023-12-02,2023,December,Q4,Falcon Heavy,6,B1060,1,Kennedy LC-39A,GTO,Commercial Satellite Co.,14694,103.6,10,Success,Success
158,2023-12-13,2023,December,Q4,Falcon 9,112,B1051,13,Kennedy LC-39A,ISS,SpaceX (Starlink),9354,67.5,4,Success,Failure
157,2023-12-27,2023,December,Q4,Falcon Heavy,25,B1050,13,Kennedy LC-39A,HEO,ESA,33024,114.0,7,Success,Success
119,2024-01-13,2024,January,Q1,Falcon 9,85,B1060,9,Vandenberg SLC-4E,Polar,SpaceX (Starlink),10258,79.9,6,Success,Success
81,2024-01-24,2024,January,Q1,Falcon Heavy,14,B1058,6,Kennedy LC-39A,GTO,NASA,60236,107.5,8,Success,Success
136,2024-01-28,2024,January,Q1,Falcon 9,99,B1053,11,Cape Canaveral SLC-40,Polar,SpaceX (Starlink),14577,63.9,1,Success,Success
122,2024-01-31,2024,January,Q1,Falcon 9,88,B1051,10,Cape Canaveral SLC-40,GTO,Iridium,9446,73.0,10,Success,Success
120,2024-02-20,2024,February,Q1,Falcon 9,86,B1061,9,Kennedy LC-39A,GTO,Axiom Space,12840,75.8,1,Success,Success
156,2024-02-24,2024,February,Q1,Falcon 9,111,B1061,12,Kennedy LC-39A,ISS,Planet Labs,16972,65.8,2,Success,Success
169,2024-03-15,2024,March,Q1,Falcon Heavy,28,B1050,14,Kennedy LC-39A,HEO,SpaceX (Starlink),19830,128.2,10,Success,Success
86,2024-03-30,2024,March,Q1,Falcon 9,57,B1051,7,Vandenberg SLC-4E,ISS,Iridium,7546,64.0,7,Success,Success
163,2024-04-26,2024,April,Q2,Starship,23,B1056,13,"Starbase, TX",LEO,Axiom Space,68402,20.6,1,Success,Success
10,2024-04-29,2024,April,Q2,Falcon 9,6,B1059,0,Kennedy LC-39A,ISS,NASA,17128,68.4,4,Success,Success
61,2024-05-03,2024,May,Q2,Starship,9,B1050,5,"Starbase, TX",LEO,SpaceX (Starlink),126214,11.8,5,Failure,Failure
108,2024-05-07,2024,May,Q2,Falcon 9,74,B1061,8,Cape Canaveral SLC-40,MEO,DoD,9276,73.2,8,Success,Success
132,2024-05-11,2024,May,Q2,Falcon 9,96,B1061,10,Vandenberg SLC-4E,Polar,Commercial Satellite Co.,14433,78.3,9,Success,Success
159,2024-05-24,2024,May,Q2,Starship,22,B1052,13,"Starbase, TX",LEO,DoD,66947,28.6,4,Success,Failure
106,2024-06-12,2024,June,Q2,Falcon 9,73,B1059,8,Cape Canaveral SLC-40,Polar,Axiom Space,18530,65.1,3,Success,Success
15,2024-06-22,2024,June,Q2,Falcon 9,9,B1052,1,Vandenberg SLC-4E,LEO,Iridium,22784,69.2,8,Success,Failure
67,2024-06-26,2024,June,Q2,Falcon Heavy,11,B1056,5,Kennedy LC-39A,Heliocentric,SpaceX (Starlink),11242,146.0,3,Success,Success
153,2024-06-26,2024,June,Q2,Falcon 9,108,B1058,12,Kennedy LC-39A,MEO,DoD,10193,77.3,7,Success,Success
151,2024-07-15,2024,July,Q3,Falcon 9,106,B1056,12,Cape Canaveral SLC-40,MEO,Commercial Satellite Co.,16091,74.6,4,Success,Success
103,2024-08-05,2024,August,Q3,Falcon 9,70,B1056,8,Vandenberg SLC-4E,MEO,ESA,15691,79.2,6,Success,Success
180,2024-08-16,2024,August,Q3,Falcon 9,126,B1061,14,Kennedy LC-39A,LEO,SpaceX (Starlink),17472,65.8,1,Success,Success
29,2024-09-12,2024,September,Q3,Falcon 9,19,B1054,2,Cape Canaveral SLC-40,LEO,Axiom Space,17013,73.9,9,Success,Success
80,2024-09-16,2024,September,Q3,Falcon Heavy,13,B1057,6,Kennedy LC-39A,HEO,Commercial Satellite Co.,51735,115.5,6,Success,Success
74,2024-10-07,2024,October,Q4,Falcon 9,53,B1051,6,Kennedy LC-39A,SSO,Iridium,2005,63.3,9,Success,Failure
35,2024-10-20,2024,October,Q4,Falcon 9,22,B1060,2,Cape Canaveral SLC-40,GTO,ESA,6009,78.1,6,Success,Success
37,2024-11-02,2024,November,Q4,Falcon 9,24,B1050,3,Kennedy LC-39A,SSO,Axiom Space,15804,65.5,1,Success,Success
88,2025-01-02,2025,January,Q1,Falcon 9,58,B1053,7,Cape Canaveral SLC-40,ISS,Axiom Space,17549,62.5,7,Success,Success
75,2025-01-12,2025,January,Q1,Falcon Heavy,12,B1052,6,Kennedy LC-39A,GTO,Commercial Satellite Co.,18117,99.1,2,Failure,Failure
129,2025-01-27,2025,January,Q1,Falcon 9,94,B1058,10,Cape Canaveral SLC-40,GTO,SpaceX (Starlink),10566,66.2,5,Success,Success
70,2025-01-29,2025,January,Q1,Falcon 9,49,B1059,5,Vandenberg SLC-4E,SSO,Planet Labs,6574,71.9,9,Success,Success
76,2025-02-16,2025,February,Q1,Starship,11,B1053,6,"Starbase, TX",TMI,NASA,50179,25.6,5,Success,Failure
38,2025-02-21,2025,February,Q1,Falcon 9,25,B1051,3,Vandenberg SLC-4E,MEO,NASA,14594,68.0,2,Success,Success
57,2025-02-28,2025,February,Q1,Falcon 9,41,B1058,4,Vandenberg SLC-4E,SSO,SpaceX (Starlink),17696,78.4,4,Success,Success
31,2025-04-23,2025,April,Q2,Falcon 9,21,B1056,2,Kennedy LC-39A,MEO,SpaceX (Starlink),20234,63.1,8,Success,Success
27,2025-04-26,2025,April,Q2,Falcon 9,17,B1052,2,Kennedy LC-39A,ISS,DoD,19978,71.9,2,Success,Success
175,2025-04-29,2025,April,Q2,Falcon 9,122,B1056,14,Kennedy LC-39A,MEO,NASA,18411,78.4,10,Success,Success
18,2025-06-22,2025,June,Q2,Falcon 9,12,B1055,1,Vandenberg SLC-4E,SSO,Iridium,12218,63.5,5,Success,Success
112,2025-06-27,2025,June,Q2,Falcon 9,78,B1053,9,Vandenberg SLC-4E,GTO,Iridium,22269,76.0,8,Success,Success
141,2025-07-03,2025,July,Q3,Falcon 9,101,B1058,11,Cape Canaveral SLC-40,SSO,DoD,18206,72.7,9,Failure,Failure
83,2025-07-23,2025,July,Q3,Starship,14,B1060,6,"Starbase, TX",LEO,Iridium,104660,28.2,7,Success,Success
117,2025-08-19,2025,August,Q3,Falcon 9,83,B1058,9,Vandenberg SLC-4E,GTO,ESA,22180,71.1,3,Success,Success
139,2025-08-25,2025,August,Q3,Starship,20,B1056,11,"Starbase, TX",TLI,NASA,104122,10.6,8,Success,Success
53,2025-09-01,2025,September,Q3,Falcon 9,37,B1054,4,Cape Canaveral SLC-40,Polar,NASA,21138,76.4,4,Success,Failure
173,2025-09-05,2025,September,Q3,Starship,24,B1054,14,"Starbase, TX",LEO,Iridium,65457,16.6,10,Success,Success
131,2025-09-09,2025,September,Q3,Falcon 9,95,B1060,10,Cape Canaveral SLC-40,GTO,ESA,9736,77.2,6,Success,Success
14,2025-10-12,2025,October,Q4,Falcon 9,8,B1051,1,Kennedy LC-39A,MEO,NASA,16963,78.2,9,Success,Success
121,2025-10-14,2025,October,Q4,Falcon 9,87,B1050,10,Vandenberg SLC-4E,ISS,Axiom Space,2058,75.4,7,Success,Success
34,2025-11-13,2025,November,Q4,Starship,4,B1059,2,"Starbase, TX",TMI,Commercial Satellite Co.,108658,12.7,2,Success,Success
56,2025-11-24,2025,November,Q4,Falcon 9,40,B1057,4,Cape Canaveral SLC-40,MEO,Iridium,10263,76.6,4,Success,Success
133,2025-12-13,2025,December,Q4,Falcon 9,97,B1050,11,Kennedy LC-39A,LEO,NASA,16326,79.2,4,Success,Success
